species,scientific_names,status
大鳍弹涂鱼,Periophthalmus magnuspinnatus,active
弹涂鱼,Periophthalmus modestus,active
弧边管招潮蟹,Tubuca arcuata,active
丽彩拟瘦招潮蟹,Paraleptuca splendida,active
大陆拟相手蟹,Parasesarma continentale,active
锯缘青蟹,Scylla serrata,active
双齿相手蟹,Parasesarma bidens,active
无齿东方相手蟹,Orisarma dehaani,active
瘤拟黑螺,Melanoides tuberculata,active
短指和尚蟹,Mictyris brevidactylus,active
石磺,Onchidium verruculatum|Peronia verruculata,active
耳螺,Ellobium chinense|Ellobium aurismidae,active
红树蚬,Geloina erosa|Geloina expansa,active
